species,province,new_year,old_year
Abroscopus albogularis,Hebei,2024,2024
Abroscopus albogularis,Jiangsu,2017,2019
Abroscopus albogularis,Ningxia,2021,2024
Abroscopus albogularis,Shanghai,2013,2018
Abroscopus albogularis,Tibet,2016,2017
Accipiter gularis,Xinjiang,2010,2013
Accipiter soloensis,Gansu,2012,2015
Accipiter soloensis,Heilongjiang,2018,2020
Accipiter soloensis,Inner Mongolia,2020,2023
Accipiter trivirgatus,Anhui,2006,2010
Accipiter trivirgatus,Beijing,2013,2013
Accipiter trivirgatus,Gansu,2020,2022
Accipiter trivirgatus,Henan,2008,2008
Accipiter trivirgatus,Liaoning,2017,2021
Accipiter trivirgatus,Shaanxi,,2007
Accipiter virgatus,Anhui,2011,2012
Acridotheres cristatellus,Jilin,2016,2023
Acridotheres tristis,Chongqing,2010,2010
Acridotheres tristis,Guizhou,2017,2018
Acridotheres tristis,Jiangxi,2019,2022
Acridotheres tristis,Shandong,2022,
Acrocephalus agricola,Inner Mongolia,2020,2023
Acrocephalus bistrigiceps,Guizhou,2015,2017
Acrocephalus bistrigiceps,Tibet,2023,2024
Acrocephalus concinens,Shanghai,2005,2006
Acrocephalus orientalis,Tibet,2023,2024
Acrocephalus tangorum,Hubei,2020,2020
Acrocephalus tangorum,Zhejiang,2023,2024
Aegithalos bonvaloti,Shaanxi,2006,2007
Aegithalos caudatus,Shandong,2023,2024
Aegithalos caudatus,Tianjin,2016,2020
Aegithalos concinnus,Gansu,2017,2020
Aegithalos concinnus,Hebei,2022,2023
Aegithalos fuliginosus,Hunan,2009,2010
Aegithalos fuliginosus,Shanxi,2016,2016
Aethopyga christinae,Anhui,2017,2018
Aethopyga christinae,Hubei,2003,2004
Aethopyga gouldiae,Henan,2016,2017
Agropsar sturninus,Tibet,2020,2023
Aix galericulata,Tibet,2021,2021
Aix galericulata,Xinjiang,2015,2015
Alauda gulgula,Inner Mongolia,2020,2023
Alaudala cheleensis,Fujian,2019,2024
Alcedo hercules,Fujian,2006,2006
Alcippe morrisonia,Henan,2015,2016
Amaurornis phoenicurus,Heilongjiang,2008,2010
Amaurornis phoenicurus,Inner Mongolia,2018,2023
Amaurornis phoenicurus,Jilin,,2002
Amaurornis phoenicurus,Qinghai,2013,2015
Anastomus oscitans,Hebei,2021,2023
Anastomus oscitans,Hunan,2024,
Anastomus oscitans,Qinghai,2023,2024
Anastomus oscitans,Shaanxi,2020,2021
Anastomus oscitans,Sichuan,2012,2018
Anser anser,Hainan,2007,2009
Anser fabalis,Tibet,2016,2016
Anser indicus,Chongqing,2006,2007
Anser indicus,Henan,2019,2019
Anthus godlewskii,Shaanxi,2005,2007
Anthus gustavi,Anhui,2020,2024
Anthus gustavi,Hubei,2014,2015
Anthus gustavi,Xinjiang,2010,2010
Anthus richardi,Tibet,2016,2017
Anthus roseatus,Zhejiang,2020,2021
Anthus trivialis,Jiangsu,2023,2024
Aquila fasciata,Liaoning,2015,2021
Aquila fasciata,Shaanxi,2020,2020
Aquila heliaca,Hunan,2021,2023
Aquila heliaca,Ningxia,2019,2021
Ardea intermedia,Jilin,2020,2023
Ardea intermedia,Liaoning,2004,2006
Ardenna pacifica,Shanghai,2012,2013
Ardenna pacifica,Zhejiang,2018,2019
Artamus fuscus,Guizhou,2014,2015
Artamus fuscus,Hunan,2022,
Artamus fuscus,Jiangxi,2020,2021
Asio flammeus,Guangxi,2004,2005
Athene noctua,Yunnan,,2002
Athene noctua,Zhejiang,2022,2023
Aviceda jerdoni,Guangdong,2014,2023
Aviceda jerdoni,Hunan,2017,2018
Aviceda leuphotes,Gansu,2018,2019
Aviceda leuphotes,Jiangsu,2006,2010
Aviceda leuphotes,Ningxia,2002,2024
Aviceda leuphotes,Shanxi,2018,2023
Aythya fuligula,Hainan,,2006
Aythya nyroca,Fujian,2004,2006
Aythya nyroca,Jilin,2010,2012
Bombycilla japonica,Gansu,2019,2019
Bombycilla japonica,Ningxia,2019,2022
Bombycilla japonica,Qinghai,2012,2013
Branta canadensis,Heilongjiang,2023,2024
Branta canadensis,Liaoning,2020,2022
Branta canadensis,Tianjin,2014,2017
Branta canadensis,Zhejiang,2016,2019
Bubo nipalensis,Chongqing,2018,2019
Bubo nipalensis,Guangxi,2013,2014
Bucanetes mongolicus,Heilongjiang,2002,2006
Bucanetes mongolicus,Sichuan,2014,2015
Bucanetes mongolicus,Tibet,2012,2014
Butastur indicus,Anhui,2011,2013
Butastur indicus,Gansu,2022,2024
Cacomantis merulinus,Shaanxi,2015,2016
Calandrella brachydactyla,Hunan,2023,2024
Calliope obscura,Hubei,2021,2021
Caprimulgus macrurus,Guizhou,2018,2019
Carpodacus roborowskii,Xinjiang,2015,2016
Carpodacus vinaceus,Shandong,2020,2022
Cecropis daurica,Chongqing,2021,
Cecropis daurica,Xinjiang,2010,2013
Centropus bengalensis,Hebei,,2003
Centropus bengalensis,Liaoning,2012,2022
Centropus bengalensis,Tibet,2022,2024
Centropus bengalensis,Zhejiang,2002,2003
Cephalopyrus flammiceps,Guangxi,2012,2013
Cephalopyrus flammiceps,Hubei,2017,2019
Certhia familiaris,Jiangsu,2024,2024
